ID,title,jobDate,jobCondition,jobSector
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50109863,[상시채용] 주식회사 대륜 서울 개발팀 부문별 모집,상시채용 입사지원,서울 영등포구 경력무관 대졸↑ 정규직,"웹개발, 백엔드/서버개발, Java, 데이터분석가, 앱개발 외 수정일 25/02/27"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50196320,[서울/광고플랫폼] 백엔드 엔지니어 채용,~ 04/09(수) 입사지원,서울 강남구 경력 1~5년 학력무관 정규직,"Python, 백엔드/서버개발, Java, 알고리즘, 클라우드 외 등록일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50193556,25년 상반기(3월)생산기술 신입사원 수시채용(제품기술_파우치),~ 03/19(수) 홈페이지 지원,대전 유성구 신입 대졸↑,"Python, 데이터분석가, R, 설계엔지니어, CATIA 외 수정일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50176657,[ 한국정보통신기술협회 ] 소프트웨어 시험인증 연구원,~ 03/14(금) 입사지원,"경기 성남시 분당구 경력무관 대졸↑ 계약직·파견직 3,200 만원","Python, 웹개발, 백엔드/서버개발, C++, Java 외 등록일 25/03/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50033110,(주)동화엔텍 DT추진팀 AI 및 RPA 개발자 인재 모집,~ 03/20(목) 입사지원,부산 강서구 경력3년↑ 대졸↑ 정규직,"웹개발, 백엔드/서버개발, Java, AI(인공지능), SE(시스템엔지니어) 외 수정일 25/02/21"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50053893,채용연계형 개발자 인턴십 모집 - Front-End 개발자,~ 03/22(토) 홈페이지 지원,경기 성남시 분당구 신입 학력무관 정규직·인턴직,"웹개발, 백엔드/서버개발, 앱개발, 뱅킹·빌링 수정일 25/02/20"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50165547,S/W QA & Test Engineer (신입/경력) 모집합니다.,~ 04/05(토) 입사지원,서울 구로구 경력무관 초대졸↑ 정규직·프리랜서,"Python, 백엔드/서버개발, Java, SE(시스템엔지니어), Linux 외 등록일 25/03/06"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49811703,계룡건설_빅데이터 기반 Green Tech SW 개발자 교육생 모집,~ 03/18(화) 입사지원,대전 서구 경력무관 대졸↑ 교육생,"Python, Java, AI(인공지능), 머신러닝, Linux 외 수정일 25/01/24"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49536432,"㈜위즈코리아/㈜위즈COK SE(시스템 엔지니어), PM 채용",~ 03/31(월) 입사지원,서울 강서구 신입·경력 학력무관 정규직·병역특례,"웹개발, 백엔드/서버개발, Linux, 유지보수, 정보보안 외 수정일 25/02/27"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49851884,"개발자,AI/데이터 신입/경력 모집.",~ 03/31(월) 입사지원,서울 강남구 경력무관 학력무관 정규직,"웹개발, 백엔드/서버개발, C++, Java, AI(인공지능) 외 수정일 25/03/06"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50136857,[백엔드/풀스택 개발자] 경력 및 신입 모집,~ 04/03(목) 입사지원,서울 강남구 경력무관 학력무관 정규직,"Python, 웹개발, 백엔드/서버개발, AI(인공지능), 머신러닝 외 등록일 25/03/04"
